module_name	pathway_name	original_ko_rule	converted_rule	human_readable
M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	K03934+K03935+K03936+K03937+K03938+K03939+K03940+K03941+K03942+K03943-K03944	K03934&K03935&K03936&K03937&K03938&K03939&K03940&K03941&K03942&K03943	K03934 & K03935 & K03936 & K03937 & K03938 & K03939 & K03940 & K03941 & K03942 & K03943
M00144	NADH:quinone oxidoreductase, prokaryotes	K00330+(K00331+K00332+K00333,K00331+K13378,K13380)+K00334+K00335+K00336+ K00337+K00338+K00339+K00340+(K00341+K00342)+K00343	K00330&((K00331&K00332&K00333)|(K00331&K13378)|(K13380))&K00334&K00335&K00336&K00337&K00338&K00339&K00340&(K00341&K00342)&K00343	K00330 & ( ( K00331 & K00332 & K00333 ) | ( K00331 & K13378 ) | ( K13380 ) ) & K00334 & K00335 & K00336 & K00337 & K00338 & K00339 & K00340 & ( K00341 & K00342 ) & K00343
M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	K05574+K05582+K05581+K05579+K05572+K05580+K05578+K05576+K05577+K05575+K05573- K05583-K05584-K05585	K05574&K05582&K05581&K05579&K05572&K05580&K05578&K05576&K05577&K05575&K05573	K05574 & K05582 & K05581 & K05579 & K05572 & K05580 & K05578 & K05576 & K05577 & K05575 & K05573
M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	K03945+K03946+K03947+K03948+K03949+K03950+K03951+K03952+K03953+K03954+K03955+ K03956+K11352+K11353	K03945&K03946&K03947&K03948&K03949&K03950&K03951&K03952&K03953&K03954&K03955&K03956&K11352&K11353	K03945 & K03946 & K03947 & K03948 & K03949 & K03950 & K03951 & K03952 & K03953 & K03954 & K03955 & K03956 & K11352 & K11353
M00147	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	K03957+K03958+K03959+K03960+K03961+K03962+K03963+K03964+K03965+K03966+K11351+ K03967+K03968	K03957&K03958&K03959&K03960&K03961&K03962&K03963&K03964&K03965&K03966&K11351&K03967&K03968	K03957 & K03958 & K03959 & K03960 & K03961 & K03962 & K03963 & K03964 & K03965 & K03966 & K11351 & K03967 & K03968
M00148	Succinate dehydrogenase (ubiquinone)	K00236+(K00237,K25801)+K00234+K00235	K00236&(K00237|K25801)&K00234&K00235	K00236 & ( K00237 | K25801 ) & K00234 & K00235
M00149	Succinate dehydrogenase, prokaryotes	K00241+(K00242,K18859,K18860)+K00239+K00240	K00241&(K00242|K18859|K18860)&K00239&K00240	K00241 & ( K00242 | K18859 | K18860 ) & K00239 & K00240
M00150	Fumarate reductase, prokaryotes	K00244+K00245+K00246+K00247	K00244&K00245&K00246&K00247	K00244 & K00245 & K00246 & K00247
M00151	Cytochrome bc1 complex respiratory unit	((K00412+K00413,K00410)+K00411),K03886+K03887+K03888,K03890+K03891+K03889	((((K00412&K00413)|(K00410))&K00411))|(K03886&K03887&K03888)|(K03890&K03891&K03889)	( ( ( ( K00412 & K00413 ) | ( K00410 ) ) & K00411 ) ) | ( K03886 & K03887 & K03888 ) | ( K03890 & K03891 & K03889 )
M00152	Cytochrome bc1 complex	K00411+K00412+K00413+K00414+K00415+K00416+K00417+K00418+K00419+K00420	K00411&K00412&K00413&K00414&K00415&K00416&K00417&K00418&K00419&K00420	K00411 & K00412 & K00413 & K00414 & K00415 & K00416 & K00417 & K00418 & K00419 & K00420
M00153	Cytochrome bd ubiquinol oxidase	K00425+K00426+(K00424,K22501)	K00425&K00426&(K00424|K22501)	K00425 & K00426 & ( K00424 | K22501 )
M00154	Cytochrome c oxidase	(K02257+K02262+K02256+K02261+K02263+K02264+K02265+K02266+K02267+K02268+ K02270-K02271+K02272-K02273+K02258+K02259+K02260)	(K02257&K02262&K02256&K02261&K02263&K02264&K02265&K02266&K02267&K02268&K02270&K02272&K02258&K02259&K02260)	( K02257 & K02262 & K02256 & K02261 & K02263 & K02264 & K02265 & K02266 & K02267 & K02268 & K02270 & K02272 & K02258 & K02259 & K02260 )
M00155	Cytochrome c oxidase, prokaryotes	K02275+(K02274+K02276,K15408)-K02277	K02275&((K02274&K02276)|(K15408))	K02275 & ( ( K02274 & K02276 ) | ( K15408 ) )
M00156	Cytochrome c oxidase, cbb3-type	((K00404+K00405,K15862)+K00407+K00406)	(((K00404&K00405)|(K15862))&K00407&K00406)	( ( ( K00404 & K00405 ) | ( K15862 ) ) & K00407 & K00406 )
M00157	F-type ATPase, prokaryotes and chloroplasts	K02111+K02112+K02113+K02114+K02115+K02108+K02109+K02110	K02111&K02112&K02113&K02114&K02115&K02108&K02109&K02110	K02111 & K02112 & K02113 & K02114 & K02115 & K02108 & K02109 & K02110
M00158	F-type ATPase, eukaryotes	K02132+K02133+K02136+K02134+K02135+K02137+K02126+K02127+K02128+K02138+(K02129,K01549)+(K02130,K02139)+K02140+(K02141,K02131)-K02142-K02143+K02125	K02132&K02133&K02136&K02134&K02135&K02137&K02126&K02127&K02128&K02138&(K02129|K01549)&(K02130|K02139)&K02140&(K02141|K02131)&K02125	K02132 & K02133 & K02136 & K02134 & K02135 & K02137 & K02126 & K02127 & K02128 & K02138 & ( K02129 | K01549 ) & ( K02130 | K02139 ) & K02140 & ( K02141 | K02131 ) & K02125
M00159	V/A-type ATPase, prokaryotes	K02117+K02118+K02119+K02120+K02121+K02122+K02107+K02123+K02124	K02117&K02118&K02119&K02120&K02121&K02122&K02107&K02123&K02124	K02117 & K02118 & K02119 & K02120 & K02121 & K02122 & K02107 & K02123 & K02124
M00160	V-type ATPase, eukaryotes	K02145+K02147+K02148+K02149+K02150+K02151+K02152+K02144+K02154+(K03661,K02155)+ K02146+K02153+K03662	K02145&K02147&K02148&K02149&K02150&K02151&K02152&K02144&K02154&(K03661|K02155)&K02146&K02153&K03662	K02145 & K02147 & K02148 & K02149 & K02150 & K02151 & K02152 & K02144 & K02154 & ( K03661 | K02155 ) & K02146 & K02153 & K03662
M00161	Photosystem II	K02703+K02706+K02705+K02704+K02707+K02708	K02703&K02706&K02705&K02704&K02707&K02708	K02703 & K02706 & K02705 & K02704 & K02707 & K02708
M00162	Cytochrome b6f complex	K02635+K02637+K02634+K02636+K02642+K02643+K03689+K02640	K02635&K02637&K02634&K02636&K02642&K02643&K03689&K02640	K02635 & K02637 & K02634 & K02636 & K02642 & K02643 & K03689 & K02640
M00163	Photosystem I	K02689+K02690+K02691+K02692+K02693+K02694	K02689&K02690&K02691&K02692&K02693&K02694	K02689 & K02690 & K02691 & K02692 & K02693 & K02694
M00363	EHEC pathogenicity signature, Shiga toxin	K11006 K11007	K11006__K11007	K11006 __ K11007
M00415	Fatty acid elongation in endoplasmic reticulum	(K10247,K10205,K10248,K10249,K10244,K10203,K10250,K15397,K10245,K10246)  K10251 K10703 K10258	(K10247|K10205|K10248|K10249|K10244|K10203|K10250|K15397|K10245|K10246)__K10251__K10703__K10258	( K10247 | K10205 | K10248 | K10249 | K10244 | K10203 | K10250 | K15397 | K10245 | K10246 ) __ K10251 __ K10703 __ K10258
M00416	Cytochrome aa3-600 menaquinol oxidase	K02827+K02826+K02828+K02829	K02827&K02826&K02828&K02829	K02827 & K02826 & K02828 & K02829
M00417	Cytochrome o ubiquinol oxidase	K02297+K02298+K02299+K02300	K02297&K02298&K02299&K02300	K02297 & K02298 & K02299 & K02300
M00542	EHEC/EPEC pathogenicity signature, T3SS and effectors	K03221+K03219+K03222+K03226+K03227+K03228+K03229+K03230+K03224+K03225 K12784  K12787 K12785 K12786 K12788 K16041 K16042	K03221&K03219&K03222&K03226&K03227&K03228&K03229&K03230&K03224&K03225__K12784__K12787__K12785__K12786__K12788__K16041__K16042	K03221 & K03219 & K03222 & K03226 & K03227 & K03228 & K03229 & K03230 & K03224 & K03225 __ K12784 __ K12787 __ K12785 __ K12786 __ K12788 __ K16041 __ K16042
M00564	Helicobacter pylori pathogenicity signature, cagA pathogenicity island	K15842 K12086 -K12087 K12088 K12089 K12090 K03196 K12091 -K12092 K12093  K12094 K12095 K12096 K12097 K12098 -K12099 -K12100 K12101 K12102 K12103  K12104 K12105 K12106 K12107 K12108 K12109 K12110	K15842__K12086__K12088__K12089__K12090__K03196__K12091__K12093__K12094__K12095__K12096__K12097__K12098__K12101__K12102__K12103__K12104__K12105__K12106__K12107__K12108__K12109__K12110	K15842 __ K12086 __ K12088 __ K12089 __ K12090 __ K03196 __ K12091 __ K12093 __ K12094 __ K12095 __ K12096 __ K12097 __ K12098 __ K12101 __ K12102 __ K12103 __ K12104 __ K12105 __ K12106 __ K12107 __ K12108 __ K12109 __ K12110
M00574	Pertussis pathogenicity signature, pertussis toxin	K11023 -K11024 K11025 K11026 K11027	K11023__K11025__K11026__K11027	K11023 __ K11025 __ K11026 __ K11027
M00575	Pertussis pathogenicity signature, T1SS	K22944 K11004 K07389 K11003 K12340	K22944__K11004__K07389__K11003__K12340	K22944 __ K11004 __ K07389 __ K11003 __ K12340
M00576	ETEC pathogenicity signature, heat-labile and heat-stable enterotoxins	(K10928+K10929) (K16883,K16884)	(K10928&K10929)__(K16883|K16884)	( K10928 & K10929 ) __ ( K16883 | K16884 )
M00597	Anoxygenic photosystem II	K08928+K08929	K08928&K08929	K08928 & K08929
M00598	Anoxygenic photosystem I	K08940+K08941+K08942+K08943	K08940&K08941&K08942&K08943	K08940 & K08941 & K08942 & K08943
M00625	Methicillin resistance	K02547 K02546 K02545	K02547__K02546__K02545	K02547 __ K02546 __ K02545
M00627	beta-Lactam resistance, Bla system	K02172 K02171 (K18766,K17836)	K02172__K02171__(K18766|K17836)	K02172 __ K02171 __ ( K18766 | K17836 )
M00639	Multidrug resistance, efflux pump MexCD-OprJ	K18294 K18295+K18296-K08721	K18294__K18295&K18296	K18294 __ K18295 & K18296
M00641	Multidrug resistance, efflux pump MexEF-OprN	K18297 K18298+K18299-K18300	K18297__K18298&K18299	K18297 __ K18298 & K18299
M00642	Multidrug resistance, efflux pump MexJK-OprM	K18301 K18302+K18303-K18139	K18301__K18302&K18303	K18301 __ K18302 & K18303
M00643	Multidrug resistance, efflux pump MexXY-OprM	K18129 K18094+K18095+K18139	K18129__K18094&K18095&K18139	K18129 __ K18094 & K18095 & K18139
M00649	Multidrug resistance, efflux pump AdeABC	K18143 K18144 K18145+K18146-K18147	K18143__K18144__K18145&K18146	K18143 __ K18144 __ K18145 & K18146
M00651	Vancomycin resistance, D-Ala-D-Lac type	(K18345 K18344 K07260 K18346),(K18351 K18352 K18354 K18353) (K18347 K15739  K08641)	((K18345&K18344&K07260&K18346))|((K18351&K18352&K18354&K18353))__((K18347&K15739&K08641))	( ( K18345 & K18344 & K07260 & K18346 ) ) | ( ( K18351 & K18352 & K18354 & K18353 ) ) __ ( ( K18347 & K15739 & K08641 ) )
M00652	Vancomycin resistance, D-Ala-D-Ser type	K18350 K18349 K18348 K18856 K18866	K18350__K18349__K18348__K18856__K18866	K18350 __ K18349 __ K18348 __ K18856 __ K18866
M00660	Xanthomonas spp. pathogenicity signature, T3SS and effectors	K03222+K03226+K03227+K03228+K03229+K03230+K03224+K03225+K03223+K18374+K18376  K18373 K18375 K18377 K18378 K18379 K18380 K18381	K03222&K03226&K03227&K03228&K03229&K03230&K03224&K03225&K03223&K18374&K18376__K18373__K18375__K18377__K18378__K18379__K18380__K18381	K03222 & K03226 & K03227 & K03228 & K03229 & K03230 & K03224 & K03225 & K03223 & K18374 & K18376 __ K18373 __ K18375 __ K18377 __ K18378 __ K18379 __ K18380 __ K18381
M00664	Nodulation	K14658 K14659 K14666 K14657	K14658__K14659__K14666__K14657	K14658 __ K14659 __ K14666 __ K14657
M00696	Multidrug resistance, efflux pump AcrEF-TolC	K18140 K18141+K18142+K12340	K18140__K18141&K18142&K12340	K18140 __ K18141 & K18142 & K12340
M00697	Multidrug resistance, efflux pump MdtEF-TolC	K07690 K18898+K18899+K12340	K07690__K18898&K18899&K12340	K07690 __ K18898 & K18899 & K12340
M00698	Multidrug resistance, efflux pump BpeEF-OprC	K18900 K18901+K18902+K18903	K18900__K18901&K18902&K18903	K18900 __ K18901 & K18902 & K18903
M00700	Multidrug resistance, efflux pump AbcA	(K18906,K18907) K18104	(K18906|K18907)__K18104	( K18906 | K18907 ) __ K18104
M00702	Multidrug resistance, efflux pump NorB	(K18906,K18907) K08170	(K18906|K18907)__K08170	( K18906 | K18907 ) __ K08170
M00704	Tetracycline resistance, efflux pump Tet38	K18906 K08168	K18906__K08168	K18906 __ K08168
M00705	Multidrug resistance, efflux pump MepA	K18909 K18908	K18909__K18908	K18909 __ K18908
M00714	Multidrug resistance, efflux pump QacA	K18938 K08167	K18938__K08167	K18938 __ K08167
M00718	Multidrug resistance, efflux pump MexAB-OprM	K18131 K03585+K18138+K18139	K18131__K03585&K18138&K18139	K18131 __ K03585 & K18138 & K18139
M00725	Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon	K19077 K19078 K03367+K03739+K14188+K03740	K19077__K19078__K03367&K03739&K14188&K03740	K19077 __ K19078 __ K03367 & K03739 & K14188 & K03740
M00726	Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF	K19077 K19078 K14205	K19077__K19078__K14205	K19077 __ K19078 __ K14205
M00730	Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter	K19077 K19078 K19079+K19080	K19077__K19078__K19079&K19080	K19077 __ K19078 __ K19079 & K19080
M00744	Cationic antimicrobial peptide (CAMP) resistance, protease PgtE	K07637 K07660 K08477	K07637__K07660__K08477	K07637 __ K07660 __ K08477
M00745	Imipenem resistance, repression of porin OprD	(K18072 K18073),(K07644 K07665),K18297 K18093	((K18072&K18073))|((K07644&K07665))|(K18297)__(K18093)	( ( K18072 & K18073 ) ) | ( ( K07644 & K07665 ) ) | ( K18297 ) __ ( K18093 )
M00746	Multidrug resistance, repression of porin OmpF	K13632 K18513 K09476	K13632__K18513__K09476	K13632 __ K18513 __ K09476
M00769	Multidrug resistance, efflux pump MexPQ-OpmE	K18304 K19591 K19595+K19594+K19593	K18304__K19591__K19595&K19594&K19593	K18304 __ K19591 __ K19595 & K19594 & K19593
M00777	Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b	K14371+K24567+K24568+K24569 K14372 K14373 K14374 K14375	K14371&K24567&K24568&K24569__K14372__K14373__K14374__K14375	K14371 & K24567 & K24568 & K24569 __ K14372 __ K14373 __ K14374 __ K14375
M00824	9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core	K15314 K21160+K21161+K21162+K21163+K21164+K21165+K21166+K21167	K15314__K21160&K21161&K21162&K21163&K21164&K21165&K21166&K21167	K15314 __ K21160 & K21161 & K21162 & K21163 & K21164 & K21165 & K21166 & K21167
M00825	10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core	K15314 K21168+K21169+K21170+K21171+K21172+K21173+K21174	K15314__K21168&K21169&K21170&K21171&K21172&K21173&K21174	K15314 __ K21168 & K21169 & K21170 & K21171 & K21172 & K21173 & K21174
M00831	Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA	K21221 K21222 K21223 K21224 K21225	K21221__K21222__K21223__K21224__K21225	K21221 __ K21222 __ K21223 __ K21224 __ K21225
M00832	Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP	K21183 K21227 K21228 K16431 K21185	K21183__K21227__K21228__K16431__K21185	K21183 __ K21227 __ K21228 __ K16431 __ K21185
M00833	Calicheamicin biosynthesis, calicheamicinone => calicheamicin	K21254 K21255 K21256 K21257 K21258 K21259 K21260 K21261 K21262 K21263	K21254__K21255__K21256__K21257__K21258__K21259__K21260__K21261__K21262__K21263	K21254 __ K21255 __ K21256 __ K21257 __ K21258 __ K21259 __ K21260 __ K21261 __ K21262 __ K21263
M00834	Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP	K21254 K21255 K21256 K21257 K21258	K21254__K21255__K21256__K21257__K21258	K21254 __ K21255 __ K21256 __ K21257 __ K21258
M00850	Vibrio cholerae pathogenicity signature, cholera toxins	(K10928+K10929) K10954 K10952 K10953 K10948 K11018	(K10928&K10929)__K10954__K10952__K10953__K10948__K11018	( K10928 & K10929 ) __ K10954 __ K10952 __ K10953 __ K10948 __ K11018
M00851	Carbapenem resistance	(K18768,K18970,K19316,K22346,K18794,K19318,K18971,K18793,K19319,K19320,K19321,K19322,K18972,K19211,K18976,K21277,K18782,K18781,K18780,K19099,K19216)	(K18768|K18970|K19316|K22346|K18794|K19318|K18971|K18793|K19319|K19320|K19321|K19322|K18972|K19211|K18976|K21277|K18782|K18781|K18780|K19099|K19216)	( K18768 | K18970 | K19316 | K22346 | K18794 | K19318 | K18971 | K18793 | K19319 | K19320 | K19321 | K19322 | K18972 | K19211 | K18976 | K21277 | K18782 | K18781 | K18780 | K19099 | K19216 )
M00852	Vibrio cholerae pathogenicity signature, toxin coregulated pilus	K10961 K10920 K10919 K10930 K10931 K10962 K10932 K10963 K10933 K10964 K10965  K10934 K10935 K10966	K10961__K10920__K10919__K10930__K10931__K10962__K10932__K10963__K10933__K10964__K10965__K10934__K10935__K10966	K10961 __ K10920 __ K10919 __ K10930 __ K10931 __ K10962 __ K10932 __ K10963 __ K10933 __ K10964 __ K10965 __ K10934 __ K10935 __ K10966
M00853	ETEC pathogenicity signature, colonization factors	K22850 -K22851 K22852 K22853 K22854	K22850__K22852__K22853__K22854	K22850 __ K22852 __ K22853 __ K22854
M00856	Salmonella enterica pathogenicity signature, typhoid toxin	K11014 K11023 K19298 K22918	K11014__K11023__K19298__K22918	K11014 __ K11023 __ K19298 __ K22918
M00857	Salmonella enterica pathogenicity signature, Vi antigen	K22914 K22926 K22925 K22915 K22916 K22917 (K22924+K22921+K22923+K22922)	K22914__K22926__K22925__K22915__K22916__K22917__(K22924&K22921&K22923&K22922)	K22914 __ K22926 __ K22925 __ K22915 __ K22916 __ K22917 __ ( K22924 & K22921 & K22923 & K22922 )
M00859	Bacillus anthracis pathogenicity signature, anthrax toxin	K11030 K08645 K11029	K11030__K08645__K11029	K11030 __ K08645 __ K11029
M00860	Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis	K22976 K22977 K22980 K07282 K22116 K01932 K22981	K22976__K22977__K22980__K07282__K22116__K01932__K22981	K22976 __ K22977 __ K22980 __ K07282 __ K22116 __ K01932 __ K22981
M00866	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	K00677 (K02535,K16363) K02536 (K03269,K09949) K00748 K00912 K02527 K02517  K09778	K00677__(K02535|K16363)__K02536__(K03269|K09949)__K00748__K00912__K02527__K02517__K09778	K00677 __ ( K02535 | K16363 ) __ K02536 __ ( K03269 | K09949 ) __ K00748 __ K00912 __ K02527 __ K02517 __ K09778
M00873	Fatty acid biosynthesis in mitochondria, animals	K18660 K03955+K00645 K09458 K11539+K13370 K22540 K07512	K18660__K03955&K00645__K09458__K11539&K13370__K22540__K07512	K18660 __ K03955 & K00645 __ K09458 __ K11539 & K13370 __ K22540 __ K07512
M00874	Fatty acid biosynthesis in mitochondria, fungi	K11262 K03955+K00645 K09458 K00059 K22541 K07512	K11262__K03955&K00645__K09458__K00059__K22541__K07512	K11262 __ K03955 & K00645 __ K09458 __ K00059 __ K22541 __ K07512
M00891	Ditryptophenaline biosynthesis, tryptophan + phenylalanine => ditryptophenaline	K23646 K23647 K21477	K23646__K23647__K21477	K23646 __ K23647 __ K21477
M00906	Ethynylserine biosynthesis, lysine => ethynylserine	K23669 K23670 K23671 K23672 K23673	K23669__K23670__K23671__K23672__K23673	K23669 __ K23670 __ K23671 __ K23672 __ K23673
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)	(K00844|K12407|K00845|K25026|K00886|K08074|K00918)__(K01810|K06859|K13810|K15916)__(K00850|K16370|K21071|K00918)__(K01623|K01624|K11645|K16305|K16306)__K01803__(((K00134|K00150)&K00927)|(K11389))__(K01834|K15633|K15634|K15635)__K01689__(K00873|K12406)	( K00844 | K12407 | K00845 | K25026 | K00886 | K08074 | K00918 ) __ ( K01810 | K06859 | K13810 | K15916 ) __ ( K00850 | K16370 | K21071 | K00918 ) __ ( K01623 | K01624 | K11645 | K16305 | K16306 ) __ K01803 __ ( ( ( K00134 | K00150 ) & K00927 ) | ( K11389 ) ) __ ( K01834 | K15633 | K15634 | K15635 ) __ K01689 __ ( K00873 | K12406 )
M00002	Glycolysis, core module involving three-carbon compounds	K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)	K01803__(((K00134|K00150)&K00927)|(K11389))__(K01834|K15633|K15634|K15635)__K01689__(K00873|K12406)	K01803 __ ( ( ( K00134 | K00150 ) & K00927 ) | ( K11389 ) ) __ ( K01834 | K15633 | K15634 | K15635 ) __ K01689 __ ( K00873 | K12406 )
M00003	Gluconeogenesis, oxaloacetate => fructose-6P	(K01596,K01610) K01689 (K01834,K15633,K15634,K15635) K00927 (K00134,K00150)  K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)	(K01596|K01610)__K01689__(K01834|K15633|K15634|K15635)__K00927__(K00134|K00150)__K01803__(((K01623|K01624|K11645)&(K03841|K02446|K11532|K01086|K04041))|(K01622))	( K01596 | K01610 ) __ K01689 __ ( K01834 | K15633 | K15634 | K15635 ) __ K00927 __ ( K00134 | K00150 ) __ K01803 __ ( ( ( K01623 | K01624 | K11645 ) & ( K03841 | K02446 | K11532 | K01086 | K04041 ) ) | ( K01622 ) )
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808)  K00615 ((K00616 (K01810,K06859,K15916)),K13810)	(K13937|((K00036|K19243)&(K01057|K07404)))__K00033__K01783__(K01807|K01808)__K00615__((K00616&(K01810|K06859|K15916))|K13810)	( K13937 | ( ( K00036 | K19243 ) & ( K01057 | K07404 ) ) ) __ K00033 __ K01783 __ ( K01807 | K01808 ) __ K00615 __ ( ( K00616 & ( K01810 | K06859 | K15916 ) ) | K13810 )
M00005	PRPP biosynthesis, ribose 5P => PRPP	K00948	K00948	K00948
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	(K13937,((K00036,K19243) (K01057,K07404))) K00033	(K13937|((K00036|K19243)&(K01057|K07404)))__K00033	( K13937 | ( ( K00036 | K19243 ) & ( K01057 | K07404 ) ) ) __ K00033
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	K00615 (K00616,K13810) K01783 (K01807,K01808)	K00615__(K00616|K13810)__K01783__(K01807|K01808)	K00615 __ ( K00616 | K13810 ) __ K01783 __ ( K01807 | K01808 )
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	K00036 (K01057,K07404) K01690 K01625	K00036__(K01057|K07404)__K01690__K01625	K00036 __ ( K01057 | K07404 ) __ K01690 __ K01625
M00009	Citrate cycle (TCA cycle, Krebs cycle)	(K01647,K05942) (K01681,K01682) (K00031,K00030) ((K00164+K00658,K01616)+ K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+ K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)	(K01647|K05942)__(K01681|K01682)__(K00031|K00030)__((((K00164&K00658)|(K01616))&K00382)|(K00174&K00175))__((K01902&K01903)|(K01899&K01900)|(K18118))__((K00234&K00235&K00236&(K00237|K25801))|(K00239&K00240&K00241)|(K00244&K00245&K00246))__((K01676)|(K01679)|(K01677&K01678))__(K00026|K00025|K00024|K00116)	( K01647 | K05942 ) __ ( K01681 | K01682 ) __ ( K00031 | K00030 ) __ ( ( ( ( K00164 & K00658 ) | ( K01616 ) ) & K00382 ) | ( K00174 & K00175 ) ) __ ( ( K01902 & K01903 ) | ( K01899 & K01900 ) | ( K18118 ) ) __ ( ( K00234 & K00235 & K00236 & ( K00237 | K25801 ) ) | ( K00239 & K00240 & K00241 ) | ( K00244 & K00245 & K00246 ) ) __ ( ( K01676 ) | ( K01679 ) | ( K01677 & K01678 ) ) __ ( K00026 | K00025 | K00024 | K00116 )
