metamdb_pathway_id,inhouse_id,source_database,source_db_id,kegg_module_id,pathway_id,pathway_description,reaction_ids,ec_numbers,ec3_numbers
28.0,ME.28,metacyc,PWY-7037,,8544,protein O-glycosylation (Neisseria),36014|36013|36017|36018|36015|36016,2.4.1|2.7.8.36|2.4.1|2.4.1|2.4.1|2.4.1,2.4.1|2.7.8|2.4.1|2.4.1|2.4.1|2.4.1
29.0,ME.29,metacyc,PWY-6765,,8120,hydrogen production IV,33362,1.12.1.5,1.12.1
30.0,ME.30,metacyc,PWY-5875,,10587,staphyloxanthin biosynthesis,47686|47691|47683|47684|47687|47690|47685|47685|47688|47689,2.5.1.103|1.3.8.2|1.3.8.2|2.5.1.96|1.3.8|1.3.8.2,2.5.1|1.3.8|1.3.8|2.5.1|1.3.8|1.3.8
31.0,ME.31,metacyc,PWY-7720,,9679,ophiobolin F biosynthesis,42567|42569|42568,2.5.1|4.2.3.145|2.5.1.81,2.5.1|4.2.3|2.5.1
32.0,ME.32,metacyc,PWY-7330,,10880,UDP-N-acetyl-beta-L-fucosamine biosynthesis,49425|49424|49426,1.1.1.367|4.2.1.115,1.1.1|4.2.1
33.0,ME.33,metacyc,PWY-6197,,8208,chlorinated phenols degradation,33912|33913|33910|33911,1.14.13.7|1.14.13.7|1.14.13.7|1.14.13.7,1.14.13|1.14.13|1.14.13|1.14.13
34.0,ME.34,metacyc,PWY-6524,,9476,lychnose and isolychnose biosynthesis,41288|41290|41287|41289,2.4.1.82|2.4.1.166|2.4.1.166|2.4.1.123,2.4.1|2.4.1|2.4.1|2.4.1
35.0,ME.35,metacyc,PWY-7072,,9470,hopanoid biosynthesis (bacteria),41221|41226|41223|41222|41220|41219|41218|41217|41224|41225,4.2.1.123|1.17.8.1|4.2.1.129|5.4.99.17|4.2.3.156|2.5.1.103,4.2.1|1.17.8|4.2.1|5.4.99|4.2.3|2.5.1
36.0,ME.36,metacyc,PWY-6257,,8396,curcumene biosynthesis,35038|35039|35040,4.2.3.94|4.2.3,4.2.3|4.2.3
37.0,ME.37,metacyc,PWY-5298,,7634,L-lysine degradation VI,30751|30753|30752|30753,2.6.1.36|1.4.1.18|1.2.1.31|1.2.1.31,2.6.1|1.4.1|1.2.1|1.2.1
38.0,ME.38,metacyc,VALSYN-PWY,,8405,L-valine biosynthesis,35076|35078|35077|35076|35075,1.1.1.383|4.2.1.9|2.6.1.42|1.1.1.86|2.2.1.6,1.1.1|4.2.1|2.6.1|1.1.1|2.2.1
39.0,ME.39,metacyc,PWY-6178,,7937,"2,4,6-trichlorophenol degradation",32335|32339|32338|32337|32337|32336,1.3.1.32|1.3.1.32|1.14.14.173|1.5.1.37|1.13.11,1.3.1|1.3.1|1.14.14|1.5.1|1.13.11
40.0,ME.40,metacyc,PWY-6416,,9260,quinate degradation II,40111|40109|40110,4.2.1.118|4.2.1.10|1.1.1.282,4.2.1|4.2.1|1.1.1
41.0,ME.41,metacyc,PWY-5756,,8278,saponin biosynthesis II,34399|34398|34397|34396|34395|34394|34393|34392,2.4.1|2.4.1|2.4.1|2.4.1|2.4.1|2.4.1|2.4.1|2.4.1.17,2.4.1|2.4.1|2.4.1|2.4.1|2.4.1|2.4.1|2.4.1|2.4.1
42.0,ME.42,metacyc,PWY-5733,,9116,germacrene biosynthesis,39258|39261|39260|39259|39262,4.2.3.60|4.2.3.77|4.2.3.75|4.2.3.71|4.2.3.23,4.2.3|4.2.3|4.2.3|4.2.3|4.2.3
43.0,ME.43,metacyc,PWY-7090,,8445,"UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate biosynthesis",35427|35428|35426|35425,1.1.1.335|2.6.1.98|2.3.1.201|1.1.1.136,1.1.1|2.6.1|2.3.1|1.1.1
44.0,ME.44,metacyc,PWY-6107,,8712,chlorosalicylate degradation,37041|37036|37037|37038|37039|37040|37042,3.1.1.45|5.5.1.7|1.3.1.32|1.14.13.1|1.14.13.1,3.1.1|5.5.1|1.3.1|1.14.13|1.14.13
45.0,ME.45,metacyc,QUINATEDEG-PWY,,9501,quinate degradation I,41509|41511|41507|41508|41510,1.1.5.8|1.1.5.8|4.2.1.10|4.2.1.118|1.1.5.8,1.1.5|1.1.5|4.2.1|4.2.1|1.1.5
46.0,ME.46,metacyc,PWY-882,,9040,L-ascorbate biosynthesis I (L-galactose pathway),38849|38854|38855|38851|38852|38853|38850,2.7.7.13|1.1.1.316|3.1.3.93|1.3.2.3|5.3.1.8|5.4.2.8|2.7.7.69,2.7.7|1.1.1|3.1.3|1.3.2|5.3.1|5.4.2|2.7.7
47.0,ME.47,metacyc,PWY-7067,,9071,betulinate biosynthesis,39081|39079|39080,,
48.0,ME.48,metacyc,PWY-7712,,9812,deoxynivalenol biosynthesis,43225|43224|43223|43222|43221|43220,3.1.1|3.1.1|3.1.1|3.1.1|1.14.14,3.1.1|3.1.1|3.1.1|3.1.1|1.14.14
49.0,ME.49,metacyc,PWY66-425,,10786,L-lysine degradation II (L-pipecolate pathway),48831|48832|48837|48838|48836|48835|48833|48834|48839,1.4.3.14|1.5.1.1|1.2.1.105|1.2.1.31|2.6.1|1.5.1|1.5.3.7|2.6.1.39,1.4.3|1.5.1|1.2.1|1.2.1|2.6.1|1.5.1|1.5.3|2.6.1
50.0,ME.50,metacyc,PWY-5331,,10629,taurine biosynthesis I,47873|47871|47875|47872|47874,4.1.1.29|1.13.11.20|4.1.1.29|1.8.1.3,4.1.1|1.13.11|4.1.1|1.8.1
51.0,ME.51,metacyc,PWY-5265,,8603,peptidoglycan biosynthesis II (staphylococci),36307|36306|36305|36309|36304|36308,3.4.16.4|6.3.5.13|2.7.8.13|2.4.1.227|2.4.1.129,3.4.16|6.3.5|2.7.8|2.4.1|2.4.1
52.0,ME.52,metacyc,PWY-6102,,9943,5-chloro-3-methyl-catechol degradation,43987|43984|43986|43985,5.5.1.7,5.5.1
53.0,ME.53,metacyc,PWY-7731,,7920,superpathway of photosynthetic hydrogen production,32271,1.6.5.2,1.6.5
54.0,ME.54,metacyc,PWY-7847,,9957,heme degradation VI,44058|44059,1.14.99.48|1.14.99.48,1.14.99|1.14.99
55.0,ME.55,metacyc,PWY-5521,,10537,L-ascorbate biosynthesis III,47411|47410|47408|47409,1.1.99.21|1.1.99.32,1.1.99|1.1.99
56.0,ME.56,metacyc,PWY-5377,,7617,alpha-amyrin biosynthesis,30675,5.4.99.40,5.4.99
57.0,ME.57,metacyc,PWY-2961,,9965,sesquiterpenoid phytoalexins biosynthesis,44102|44105|44107|44109|44103|44101|44106|44104|44108,1.14.99|1.14.99|4.2.3.21,1.14.99|1.14.99|4.2.3
58.0,ME.58,metacyc,PWY0-1586,,7747,peptidoglycan maturation (meso-diaminopimelate containing),31300|31301|31297|31296|31295|31299|31298|31302,3.4.16.4|2.4.1.129,3.4.16|2.4.1
59.0,ME.59,metacyc,PWY-7028,,9275,"UDP-N,N-diacetylbacillosamine biosynthesis",40162|40161|40160,4.2.1.135|2.3.1.203|2.6.1.34,4.2.1|2.3.1|2.6.1
60.0,ME.60,metacyc,PWY-6086,,8402,4-chloro-2-methylphenoxyacetate degradation,35066|35067,1.14.13.20|1.14.11,1.14.13|1.14.11
62.0,ME.62,metacyc,PWY3DJ-35471,,9239,L-ascorbate biosynthesis IV,40025|40027|40029|40026|40028|40024,1.1.3.8|1.1.3.8|3.2.1|3.1.1.17|1.1.1.19,1.1.3|1.1.3|3.2.1|3.1.1|1.1.1
63.0,ME.63,metacyc,PWY-6836,,9401,santalene biosynthesis II,40865|40863|40864|40862,4.2.3.83|4.2.3.81|4.2.3.82|4.2.3.55,4.2.3|4.2.3|4.2.3|4.2.3
64.0,ME.64,metacyc,PWY-7850,,7836,taurine biosynthesis II,31863|31860|31861|31862,3.5.1|6.3.2.51|1.8.1.3|1.13.11.19,3.5.1|6.3.2|1.8.1|1.13.11
65.0,ME.65,metacyc,PWY-6385,,9660,peptidoglycan biosynthesis III (mycobacteria),42431|42433|42432|42434,2.4.1.129|2.4.1.227|2.7.8.13|2.4.1,2.4.1|2.4.1|2.7.8|2.4.1
66.0,ME.66,metacyc,PWY-6085,,9779,"2,4-dichlorophenoxyacetate degradation",43023|43024,1.14.13.20|1.14.11,1.14.13|1.14.11
68.0,ME.68,metacyc,PWY-6772,,8442,hydrogen production V,35409,1.17.98.4,1.17.98
69.0,ME.69,metacyc,PWY-7844,,8074,heme degradation III,33133|33134,1.14.99.58|1.14.99.58,1.14.99|1.14.99
70.0,ME.70,metacyc,PWY-6415,,9050,L-ascorbate biosynthesis V,38906|38907|38909|38908|38911|38910,1.1.1.365|3.1.1,1.1.1|3.1.1
71.0,ME.71,metacyc,PWY-6291,,10569,valencene and 7-epi-alpha-selinene biosynthesis,47591|47592,4.2.3.73|4.2.3.86,4.2.3|4.2.3
73.0,ME.73,metacyc,PEPTIDOGLYCANSYN-PWY,,10705,peptidoglycan biosynthesis I (meso-diaminopimelate containing),48392|48391|48393,2.4.1.227|2.7.8.13|2.4.1.227,2.4.1|2.7.8|2.4.1
74.0,ME.74,metacyc,PWY-7976,,9376,sulfur reduction III,40755,1.8.1.18,1.8.1
75.0,ME.75,metacyc,PWY4FS-11,,9320,L-ascorbate biosynthesis II (L-gulose pathway),40492|40491|40493|40494,1.1.1|2.7.7|3.1.3,1.1.1|2.7.7|3.1.3
76.0,ME.76,metacyc,PWY-6275,,10353,beta-caryophyllene biosynthesis,46441|46439|46440,4.2.3|4.2.3.57|4.2.3.104,4.2.3|4.2.3|4.2.3
77.0,ME.77,metacyc,PWY-5311,,8268,L-lysine degradation VII,34322|34323|34321,1.4.3.14,1.4.3
78.0,ME.78,metacyc,PWY-5350,,9181,thiosulfate disproportionation IV (rhodanese),39656,2.8.1.1,2.8.1
79.0,ME.79,metacyc,PWY-5195,,10466,artemisinin and arteannuin B biosynthesis,47011|47012|47013|47016|47015|47014|47017|47018|47010,1.3.1.92|4.2.3.24,1.3.1|4.2.3
80.0,ME.80,metacyc,PWY-3721,,10460,choline degradation II,46989|46988|46989,1.1.99.1|1.1.3.17|1.1.3.17,1.1.99|1.1.3|1.1.3
81.0,ME.81,metacyc,PWY-6758,,8059,hydrogen production II,33031|33031|33031|33031,1.12.99.6|1.12.7.2|1.12.1.5|1.12.1.2,1.12.99|1.12.7|1.12.1|1.12.1
82.0,ME.82,metacyc,PWY-7848,,8676,heme degradation VII,36838|36839,1.14.99.57|1.14.99.57,1.14.99|1.14.99
83.0,ME.83,metacyc,PWY-7167,,7975,choline degradation III,32513,4.3.99.4,4.3.99
84.0,ME.84,metacyc,PWY-7165,,10225,L-ascorbate biosynthesis VI (engineered pathway),45661|45659|45660|45658|45657|45656|45662|45663|45661,1.1.5.2|1.1.1.274|1.1.1.346|1.1.99.4|1.1.99.3|3.1.1.17|1.1.5.2|1.1.5.9,1.1.5|1.1.1|1.1.1|1.1.99|1.1.99|3.1.1|1.1.5|1.1.5
85.0,ME.85,metacyc,PWY-6254,,10109,santalene biosynthesis I,44941|44942,4.2.3.50|4.2.3,4.2.3|4.2.3
86.0,ME.86,metacyc,PWY-5113,,8919,UDP-D-apiose biosynthesis (from UDP-D-glucuronate),38226,4.1.1,4.1.1
87.0,ME.87,metacyc,PWY-6540,,10558,costunolide biosynthesis,47555|47554|47552|47553|47551|47550|47549|47558|47556|47557,1.14.14.168|1.14.14.170|1.14.14.150|4.2.3.23,1.14.14|1.14.14|1.14.14|4.2.3
88.0,ME.88,metacyc,CHOLINE-BETAINE-ANA-PWY,,9245,choline degradation I,40057|40058,1.1.99.1|1.2.1.8,1.1.99|1.2.1
89.0,ME.89,metacyc,PWY-7374,,7813,"1,4-dihydroxy-6-naphthoate biosynthesis I",31720|31721|31722|31719|31718|31717,3.2.2.26|4.2.1.151|3.5.4.40|2.5.1.120|1.21.98.1,3.2.2|4.2.1|3.5.4|2.5.1|1.21.98
90.0,ME.90,metacyc,PWY-7494,,10818,choline degradation IV,49073,1.2.1.8,1.2.1
91.0,ME.91,metacyc,PWY-6852,,8391,senecionine N-oxide biosynthesis,35025,1.14.13.101,1.14.13
92.0,ME.92,metacyc,PWY-7730,,10341,T-2 toxin biosynthesis,46385|46387|46384|46386|46388,2.3.1|2.3.1|1.14.14|1.14.14|3.1.1,2.3.1|2.3.1|1.14.14|1.14.14|3.1.1
93.0,ME.93,metacyc,PWY-5280,,10376,L-lysine degradation IV,46563|46562|46561|46560|46559,2.8.3.13|1.2.1.20|2.6.1.48|1.13.12.2|3.5.1.30,2.8.3|1.2.1|2.6.1|1.13.12|3.5.1
94.0,ME.94,metacyc,PWY-7497,,10081,3beta-hydroxysesquiterpene lactone biosynthesis,44840|44842|44841,1.14.14|1.14.14|1.14.14,1.14.14|1.14.14|1.14.14
95.0,ME.95,metacyc,P542-PWY,,9106,choline-O-sulfate degradation,39223,3.1.6.6,3.1.6
96.0,ME.96,metacyc,PWY-6780,,8965,hydrogen production VI,38417,1.2.7.4,1.2.7
97.0,ME.97,metacyc,PWY-7845,,10273,heme degradation II,45958,1.14.15.20,1.14.15
98.0,ME.98,metacyc,PWY-3561,,9776,choline biosynthesis III,43011|43013|43012,3.1.4.4|2.7.8.2|2.7.7.15,3.1.4|2.7.8|2.7.7
99.0,ME.99,metacyc,PWY-7371,,8579,"1,4-dihydroxy-6-naphthoate biosynthesis II",36156|36157|36158|36159|36160,1.21.98.1|2.5.1.120|3.2.2.30|4.2.1.151,1.21.98|2.5.1|3.2.2|4.2.1
100.0,ME.100,metacyc,PWY-6258,,8674,patchoulol biosynthesis,36831|36828|36829|36830|36832,4.2.3|4.2.3.70|4.2.3|4.2.3|4.2.3,4.2.3|4.2.3|4.2.3|4.2.3|4.2.3
101.0,ME.101,metacyc,PWY-5800,,10117,xylan biosynthesis,44976|44975|44977,2.4.1|2.4.2|2.4.2.24,2.4.1|2.4.2|2.4.2
103.0,ME.103,metacyc,PWY-3385,,7646,choline biosynthesis I,30806|30810|30807|30808|30809|30805,2.7.1.82|4.1.1|3.1.3.75|2.1.1.103|2.1.1.103|2.1.1.103,2.7.1|4.1.1|3.1.3|2.1.1|2.1.1|2.1.1
104.0,ME.104,metacyc,PWY-5822,,8310,trichloroethene degradation,34540|34545|34544|34542|34543|34539|34541,2.4.1|1.21.1,2.4.1|1.21.1
105.0,ME.105,metacyc,PWY-7139,,8091,sesaminol glucoside biosynthesis,33229|33231|33230|33228|33227,2.4.1|2.4.1|2.4.1|2.4.1|1,2.4.1|2.4.1|2.4.1|2.4.1|1
106.0,ME.106,metacyc,PWY-7234,,9221,inosine-5-phosphate biosynthesis III,39838|39837|39836|39835|39839|39834,6.3.4.18|5.4.99.18|3.5.4.10|4.3.2.2|6.3.4.23|6.3.2.6,6.3.4|5.4.99|3.5.4|4.3.2|6.3.4|6.3.2
107.0,ME.107,metacyc,PWY-7993,,7904,beta-dihydromenaquinone-9 biosynthesis,32182|32183,1.3.99.38,1.3.99
108.0,ME.108,metacyc,PWY-3542,,10780,choline biosynthesis II,48798|48796|48797,2.1.1|2.1.1|2.1.1,2.1.1|2.1.1|2.1.1
109.0,ME.109,metacyc,PWY-6686,,10731,mannosylglucosylglycerate biosynthesis I,48523|48521|48522,2.4.1.270|2.4.1.266|3.1.3,2.4.1|2.4.1|3.1.3
110.0,ME.110,metacyc,PWY-5773,,8029,gossypol biosynthesis,32807|32808|32811|32812|32810|32813|32814|32809,4.2.3.97|1.14.14|1.10.3.2|2.1.1|1.10.3.2,4.2.3|1.14.14|1.10.3|2.1.1|1.10.3
111.0,ME.111,metacyc,LYSDEGII-PWY,,10108,L-lysine degradation III,44940|44938|44937|44936|44935|44935|44939,1.1.1|2.6.1|3.5.1|2.6.1.48|1.2.1.20|1.2.1.88,1.1.1|2.6.1|3.5.1|2.6.1|1.2.1|1.2.1
112.0,ME.112,metacyc,PCPDEG-PWY,,10530,pentachlorophenol degradation,47372|47369|47367|47368|47373|47366|47365|47371|47370|47370|47374,1.8.5.7|1.1.1.404|1.8.5.7|2.5.1.18|1.14.13.50|1.3.1.32|1.3.1.32|1.13.11|1.13.11.66|2.5.1.18,1.8.5|1.1.1|1.8.5|2.5.1|1.14.13|1.3.1|1.3.1|1.13.11|1.13.11|2.5.1
114.0,ME.114,metacyc,PWY-5874,,9023,heme degradation I,38775|38774|38778|38777|38776|38773,2.4.1.17|1.14.14.18|2.4.1.17|2.4.1.17|2.4.1.17|1.3.1.24,2.4.1|1.14.14|2.4.1|2.4.1|2.4.1|1.3.1
115.0,ME.115,metacyc,PWY-7781,,8625,omega-sulfo-II-dihydromenaquinone-9 biosynthesis,36443|36442,1.14.15.27,1.14.15
116.0,ME.116,metacyc,PWY-7713,,10918,nivalenol biosynthesis,49608|49613|49612|49611|49610|49609|49607,3.1.1|3.1.1|3.1.1|2.3.1|1.14.14|1.14.14,3.1.1|3.1.1|3.1.1|2.3.1|1.14.14|1.14.14
117.0,ME.117,metacyc,PWY-4,,9087,UDP-alpha-D-galacturonate biosynthesis II (from D-galacturonate),39159|39158|39160|39158,2.7.1.44|2.7.7|2.7.7.64,2.7.1|2.7.7|2.7.7
118.0,ME.118,metacyc,PWY-6945,,8493,cholesterol degradation to androstenedione I (cholesterol oxidase),35672|35671|35684|35683|35682|35681|35680|35679|35678|35677|35676|35675|35674|35673,6.2.1.42|1.1.3.6|2.3.1|4.2.1|2.3.1.16|1.1.1|4.2.1|2.3.1.176|1.1.1.35|4.2.1|1.14.15.29|5.3.3.1|1.14.15.29|1.14.15.29,6.2.1|1.1.3|2.3.1|4.2.1|2.3.1|1.1.1|4.2.1|2.3.1|1.1.1|4.2.1|1.14.15|5.3.3|1.14.15|1.14.15
119.0,ME.119,metacyc,PCEDEG-PWY,,8905,tetrachloroethene degradation,38183|38181|38182|38180,1.21.99.5|1.21.99.5,1.21.99|1.21.99
120.0,ME.120,metacyc,PWY-5479,,8802,6-methoxypodophyllotoxin biosynthesis,37609|37610|37611|37608,1.14.14|2.1.1|1|1.14.20.8,1.14.14|2.1.1|1|1.14.20
121.0,ME.121,metacyc,PWY-6123,,10236,inosine-5-phosphate biosynthesis I,45742|45745|45744|45743|45739|45740|45741,5.4.99.18|2.1.2.3|2.1.2.3|6.3.4.18|6.3.2.6|4.3.2.2|3.5.4.10,5.4.99|2.1.2|2.1.2|6.3.4|6.3.2|4.3.2|3.5.4
122.0,ME.122,metacyc,PWY-7864,,9091,8-methylmenaquinone biosynthesis,39179|39178,2.1.1.350|2.1.1.350,2.1.1|2.1.1
123.0,ME.123,metacyc,PWY-6946,,9138,cholesterol degradation to androstenedione II (cholesterol dehydrogenase),39418|39435|39421|39434|39433|39432|39431|39430|39429|39428|39427|39426|39425|39424|39423|39422|39436|39420|39419,6.2.1.42|5.3.3.1|5.1.99.4|2.3.1|4.2.1|2.3.1.16|1.1.1|4.2.1|2.3.1.176|1.1.1.35|4.2.1|1.14.15.29|1.14.15.28|1.14.15.28|1.1.1.145|6.2.1.42|1.14.15.29|1.14.15.29,6.2.1|5.3.3|5.1.99|2.3.1|4.2.1|2.3.1|1.1.1|4.2.1|2.3.1|1.1.1|4.2.1|1.14.15|1.14.15|1.14.15|1.1.1|6.2.1|1.14.15|1.14.15
124.0,ME.124,metacyc,PWY-6687,,9336,mannosylglucosylglycerate biosynthesis II,40553|40554,2.4.1.268,2.4.1
125.0,ME.125,metacyc,PWY-5425,,10547,oleoresin sesquiterpene volatiles biosynthesis,47478|47477|47482|47481|47480|47479,4.2.3.56|4.2.3.38|4.2.3.80|4.2.3.76|4.2.3.58|4.2.3.57,4.2.3|4.2.3|4.2.3|4.2.3|4.2.3|4.2.3
126.0,ME.126,metacyc,TRPSYN-PWY,,7671,L-tryptophan biosynthesis,30947|30942|30943|30944|30945|30946,4.2.1.122|4.1.1.48|2.4.2.18|5.3.1.24|4.1.3.27|4.1.2.8,4.2.1|4.1.1|2.4.2|5.3.1|4.1.3|4.1.2
127.0,ME.127,metacyc,GAMMAHEXCHLORDEG-PWY,,10653,gamma-hexachlorocyclohexane degradation,48001|48010|48011|48008|48003|48006|48007|48009|48004|48005|48002,1.3.1.32|4.5.1|3.8.1.5|3.8.1.5|1.1.1|4.5.1,1.3.1|4.5.1|3.8.1|3.8.1|1.1.1|4.5.1
128.0,ME.128,metacyc,CHLOROPHYLL-SYN,,9388,"3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)",40814|40813|40809|40812|40811|40808|40810,1.3.1.33|1.14.13.81|1.3.3.3|1.14.13.81|1.14.13.81|4.1.1.37|1.3.3.4,1.3.1|1.14.13|1.3.3|1.14.13|1.14.13|4.1.1|1.3.3
129.0,ME.129,metacyc,PWY-6744,,8509,hydrogen production I,35822,1.12.1.4,1.12.1
130.0,ME.130,metacyc,PWY-7846,,9436,heme degradation V,41068|41066|41067,2.1.1.342,2.1.1
131.0,ME.131,metacyc,PWY-5531,,10792,"3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)",48887|48886|48885|48884|48883|48888,1.3.7.7|1.3.5.3|1.21.98.3|1.3.98.3|4.1.1.37|1.3.5.3,1.3.7|1.3.5|1.21.98|1.3.98|4.1.1|1.3.5
132.0,ME.132,metacyc,PWY-6888,,7668,zealexin biosynthesis,30929|30928|30931|30923|30922|30925|30930|30924|30926|30927,5.5.1.17|4.2.3.55,5.5.1|4.2.3
133.0,ME.133,metacyc,PWY-3261,,7755,UDP-beta-L-rhamnose biosynthesis,31353|31352,1.1.1|4.2.1.76,1.1.1|4.2.1
134.0,ME.134,metacyc,PWY-7159,,9572,"3,8-divinyl-chlorophyllide a biosynthesis III (aerobic, light independent)",41867|41863|41864|41865|41866|41868|41869,1.14.13.81|4.1.1.37|1.3.3.3|1.3.3.4|1.14.13.81|1.14.13.81|1.3.7.7,1.14.13|4.1.1|1.3.3|1.3.3|1.14.13|1.14.13|1.3.7
135.0,ME.135,metacyc,12DICHLORETHDEG-PWY,,10829,"1,2-dichloroethane degradation",49117|49120|49116|49118|49119,1.2.1.4|1.1.2.7|3.8.1.3|3.8.1.5|1.1.2.7,1.2.1|1.1.2|3.8.1|3.8.1|1.1.2
136.0,ME.136,metacyc,PWY-7631,,9111,arctigenin and isoarctigenin biosynthesis,39240|39239,2.1.1|2.1.1,2.1.1|2.1.1
137.0,ME.137,metacyc,PWY-6124,,9874,inosine-5-phosphate biosynthesis II,43605|43606|43607|43602|43603|43604,4.1.1.21|2.1.2.3|2.1.2.3|6.3.2.6|4.3.2.2|3.5.4.10,4.1.1|2.1.2|2.1.2|6.3.2|4.3.2|3.5.4
